prompt,completion
"age-group:millennials,gender:male,occasion:holi,style:indian","outfit:White kurta with vibrant tie-dye patterns,footwear:Traditional mojari shoes,accessories:Colorful headband,response:Celebrate the joy of Holi with a white kurta featuring vibrant tie-dye patterns, a comfortable and festive choice for the occasion. Complete the outfit with traditional mojari shoes and a colorful headband, embracing the spirit of unity and vibrancy."
"age-group:genz,gender:female,occasion:holi,style:indian","outfit:Colorful palazzo suit with mirror work,footwear:Embroidered juttis,accessories:Colorful bangles,response:Embrace the vivacity of Holi with a colorful palazzo suit adorned with mirror work, a trendy and festive choice for young women during the festival. Complete the outfit with embroidered juttis and vibrant bangles, adding a touch of traditional elegance and joy."
"age-group:millennials,gender:male,occasion:holi,style:indian","outfit:Vibrant kurta with a festive Nehru jacket,footwear:Traditional mojari shoes,accessories:Colorful scarf,response:Stay stylish and festive with a vibrant kurta paired with a festive Nehru jacket, a charismatic choice for Holi festivities. Complete the outfit with traditional mojari shoes and a colorful scarf, capturing the cultural richness and joy of the festival."
"age-group:genz,gender:female,occasion:holi,style:indian","outfit:Traditional saree in vibrant hues,footwear:Colorful kolhapuri sandals,accessories:Statement bindi,response:Dazzle in a traditional saree featuring vibrant hues, a classic and elegant choice for celebrating Holi. Complete the outfit with colorful kolhapuri sandals and a statement bindi, exuding traditional charm and festive grace."
"age-group:millennials,gender:male,occasion:holi,style:indian","outfit:Colorful printed kurta with churidar,footwear:Traditional mojari shoes,accessories:Colorful turban,response:Celebrate Holi with a colorful printed kurta paired with churidar, a traditional and vibrant choice for the festival. Complete the outfit with traditional mojari shoes and a colorful turban, embracing the festive spirit with cultural flair."
"age-group:genz,gender:female,occasion:holi,style:indian","outfit:Bright sharara set with intricate embroidery,footwear:Colorful juttis,accessories:Colorful bangles,response:Embrace the festive vibes of Holi with a bright sharara set adorned with intricate embroidery, a fashionable and joyful choice for young women during the festival. Complete the outfit with colorful juttis and vibrant bangles, adding a touch of traditional elegance and celebration."
"age-group:millennials,gender:male,occasion:holi,style:indian","outfit:Colorful bandhani-print kurta with white pajama,footwear:Traditional mojari shoes,accessories:Colorful headband,response:Dress in a colorful bandhani-print kurta paired with white pajama, a traditional and festive choice for celebrating Holi. Complete the outfit with traditional mojari shoes and a colorful headband, capturing the vibrancy and spirit of the festival."
"age-group:genz,gender:female,occasion:holi,style:indian","outfit:Vibrant anarkali suit with mirror work,footwear:Colorful juttis,accessories:Statement jhumkas,response:Dazzle in a vibrant anarkali suit adorned with mirror work, a popular and elegant choice for young women during Holi celebrations. Complete the outfit with colorful juttis and statement jhumkas, adding a touch of traditional charm and festive allure."
"age-group:genz,gender:male,occasion:diwali,style:indian","outfit:Richly embroidered kurta-pajama,footwear:Traditional mojari shoes,accessories:Silk stole,response:In North India, celebrate Diwali with a richly embroidered kurta-pajama, a traditional and festive choice for the occasion. Complete the outfit with traditional mojari shoes and a silk stole, embracing the cultural richness and warmth of North Indian traditions."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Vibrant silk saree with zari border,footwear:Colorful juttis,accessories:Statement earrings,response:In South India, dazzle in a vibrant silk saree with a zari border, a classic and elegant choice for Diwali celebrations in the region. Complete the outfit with colorful juttis and statement earrings, showcasing the intricate craftsmanship and timeless charm of South Indian culture."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Traditional kurta-pajama with an embroidered Nehru jacket,footwear:Traditional mojari shoes,accessories:Colorful turban,response:In Rajasthan, celebrate Diwali with a traditional kurta-pajama paired with an embroidered Nehru jacket, a charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a colorful turban, embracing the vibrant Rajasthani culture and joyful spirit."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Elegant silk lehenga choli with intricate designs,footwear:Colorful juttis,accessories:Statement maang tikka,response:In Gujarat, grace the Diwali celebrations with an elegant silk lehenga choli adorned with intricate designs, a popular and glamorous choice for the festival. Complete the outfit with colorful juttis and a statement maang tikka, adding a touch of traditional Gujarati charm and festive allure."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Traditional veshti with a vibrant angavastram,footwear:Traditional mojari shoes,accessories:Turban,response:In Tamil Nadu, celebrate Diwali with a traditional veshti paired with a vibrant angavastram, a timeless and cultural choice for the festival. Complete the outfit with traditional mojari shoes and a turban, embracing the authentic regional attire of Tamil Nadu."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Colorful Pattachitra saree,footwear:Colorful juttis,accessories:Statement bindi,response:In Odisha, adorn a colorful Pattachitra saree, a unique and traditional choice for Diwali celebrations. Complete the outfit with colorful juttis and a statement bindi, showcasing the artistic beauty and cultural richness of Odisha."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Traditional kurta-pajama with an embroidered waistcoat,footwear:Traditional mojari shoes,accessories:Colorful stole,response:In Punjab, celebrate Diwali with a traditional kurta-pajama paired with an embroidered waistcoat, a charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a colorful stole, embracing the vibrant Punjabi culture and joyful spirit."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Bright patola silk saree,footwear:Colorful juttis,accessories:Statement earrings,response:In Gujarat, dazzle in a bright patola silk saree, a celebrated choice for Diwali festivities in the region. Complete the outfit with colorful juttis and statement earrings, showcasing the intricate craftsmanship and vibrant culture of Gujarat."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Traditional veshti with a colorful angavastram,footwear:Traditional mojari shoes,accessories:Turban,response:In Kerala, celebrate Diwali with a traditional veshti paired with a colorful angavastram, a timeless and cultural choice for the festival. Complete the outfit with traditional mojari shoes and a turban, embracing the authentic regional attire of Kerala."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Colorful bandhej lehenga choli,footwear:Colorful juttis,accessories:Colorful bangles,response:In Rajasthan, dress up in a colorful bandhej lehenga choli, a popular and elegant choice for Diwali celebrations in the region. Complete the outfit with colorful juttis and vibrant bangles, adding a touch of traditional Rajasthani charm and festive allure."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Traditional Mysore silk kurta with a festive turban,footwear:Traditional mojari shoes,accessories:Colorful stole,response:In Karnataka, celebrate Diwali with a traditional Mysore silk kurta paired with a festive turban, a charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a colorful stole, embracing the cultural richness of Karnataka."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Vibrant silk saree with intricate zari work,footwear:Colorful juttis,accessories:Statement maang tikka,response:In West Bengal, grace the Diwali celebrations with a vibrant silk saree adorned with intricate zari work, a traditional and glamorous choice for the festival. Complete the outfit with colorful juttis and a statement maang tikka, adding a touch of traditional Bengali elegance and festive allure."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Traditional kurta-dhoti with a festive angavastram,footwear:Traditional mojari shoes,accessories:Colorful stole,response:In Uttar Pradesh, celebrate Diwali with a traditional kurta-dhoti paired with a festive angavastram, a charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a colorful stole, embracing the cultural richness of Uttar Pradesh."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Classic kanjeevaram silk saree,footwear:Colorful juttis,accessories:Statement earrings,response:In Tamil Nadu, exude elegance with a classic kanjeevaram silk saree, a revered choice for Diwali celebrations in the region. Complete the outfit with colorful juttis and statement earrings, showcasing the intricate craftsmanship and timeless charm of South Indian culture."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Richly embroidered kurta-pajama with a festive Nehru jacket,footwear:Traditional mojari shoes,accessories:Colorful stole,response:In Uttar Pradesh, celebrate Diwali with a richly embroidered kurta-pajama paired with a festive Nehru jacket, a charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a colorful stole, embracing the cultural richness of Uttar Pradesh."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Traditional Paithani saree,footwear:Colorful juttis,accessories:Statement maang tikka,response:In Maharashtra, dazzle in a traditional Paithani saree, a celebrated choice for Diwali festivities in the region. Complete the outfit with colorful juttis and a statement maang tikka, showcasing the intricate craftsmanship and cultural heritage of Maharashtra."
"age-group:millennials,gender:male,occasion:diwali,style:indian","outfit:Vibrant phulkari kurta-pajama,footwear:Traditional mojari shoes,accessories:Colorful stole,response:In Punjab, celebrate Diwali with a vibrant phulkari kurta-pajama, a traditional and festive choice for the occasion. Complete the outfit with traditional mojari shoes and a colorful stole, embracing the cultural richness and warmth of North Indian traditions."
"age-group:genz,gender:female,occasion:diwali,style:indian","outfit:Elegant Banarasi silk saree,footwear:Colorful juttis,accessories:Statement maang tikka,response:In Uttar Pradesh, grace the Diwali celebrations with an elegant Banarasi silk saree, a popular and glamorous choice for the festival. Complete the outfit with colorful juttis and a statement maang tikka, adding a touch of traditional Banarasi elegance and festive allure."
"age-group:genz,gender:female,occasion:navratri,style:indian","outfit:Colorful chaniya choli with mirror work,footwear:Traditional mojari shoes,accessories:Statement kadas,response:In Gujarat, dazzle in a colorful chaniya choli adorned with intricate mirror work, a popular and vibrant choice for Navratri celebrations. Complete the outfit with traditional mojari shoes and statement kadas, showcasing the festive charm and joyful spirit of the region."
"age-group:genz,gender:female,occasion:navratri,style:indian","outfit:Traditional silk lehenga choli,footwear:Colorful juttis,accessories:Statement earrings,response:In North India, grace the Navratri celebrations with a traditional silk lehenga choli, a classic and elegant choice for the festival. Complete the outfit with colorful juttis and statement earrings, adding a touch of traditional allure and festive grace."
"age-group:millennials,gender:male,occasion:navratri,style:indian","outfit:Vibrant kediyu with dhoti pants,footwear:Traditional mojari shoes,accessories:Turban,response:In Gujarat, embrace the vibrant spirit of Navratri with a colorful kediyu paired with dhoti pants, a traditional and charismatic choice for the festival. Complete the outfit with traditional mojari shoes and a turban, showcasing the cultural richness and joyful essence of Gujarat."
"age-group:genz,gender:female,occasion:navratri,style:indian","outfit:Bright bandhani lehenga choli,footwear:Colorful juttis,accessories:Statement maang tikka,response:In Rajasthan, celebrate Navratri with a bright bandhani lehenga choli, a celebrated choice for the festival. Complete the outfit with colorful juttis and a statement maang tikka, adding a touch of traditional Rajasthani charm and festive allure."
"age-group:millennials,gender:male,occasion:navratri,style:indian","outfit:Colorful kurta with vibrant dhoti pants,footwear:Traditional mojari shoes,accessories:Colorful scarf,response:In West Bengal, exude festive charm with a colorful kurta paired with vibrant dhoti pants, a modern and cultural choice for Navratri celebrations. Complete the outfit with traditional mojari shoes and a colorful scarf, showcasing the festive spirit and traditional Bengali essence."
"age-group:genz,gender:female,occasion:navratri,style:indian","outfit:Traditional ghagra choli in bright hues,footwear:Colorful juttis,accessories:Colorful bangles,response:In Rajasthan, embrace the vibrant celebrations of Navratri with a traditional ghagra choli in bright hues, a joyful and elegant choice for young women. Complete the outfit with colorful juttis and vibrant bangles, adding a touch of traditional Rajasthani charm and festive allure."
"age-group:millennials,gender:male,occasion:navratri,style:indian","outfit:Vibrant pathani kurta with colorful dhoti,footwear:Traditional mojari shoes,accessories:Turban,response:In Punjab, celebrate Navratri with a vibrant pathani kurta paired with colorful dhoti, a traditional and charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a turban, embracing the vibrant Punjabi culture and joyful spirit."
"age-group:genz,gender:female,occasion:navratri,style:indian","outfit:Bright silk saree with zari border,footwear:Colorful juttis,accessories:Statement necklace,response:In South India, dazzle in a bright silk saree with a zari border, a classic and elegant choice for Navratri celebrations. Complete the outfit with colorful juttis and a statement necklace, adding a touch of traditional South Indian grace and festive allure."
"age-group:millennials,gender:male,occasion:navratri,style:indian","outfit:Traditional kurta-pajama with an embroidered Nehru jacket,footwear:Traditional mojari shoes,accessories:Colorful stole,response:In Rajasthan, celebrate Navratri with a traditional kurta-pajama paired with an embroidered Nehru jacket, a charismatic choice for the festive occasion. Complete the outfit with traditional mojari shoes and a colorful stole, embracing the vibrant Rajasthani culture and joyful spirit."
"age-group:genz,gender:female,occasion:navratri,style:indian","outfit:Colorful Pattachitra saree,footwear:Colorful juttis,accessories:Statement maang tikka,response:In Odisha, adorn a colorful Pattachitra saree, a unique and traditional choice for Navratri celebrations. Complete the outfit with colorful juttis and a statement maang tikka, showcasing the artistic beauty and cultural richness of Odisha."
"age-group:genz,gender:male,occasion:bihu,style:indian","outfit:Traditional Assamese dhoti kurta,footwear:Traditional jootis,accessories:Gamusa (traditional Assamese scarf),response:Celebrate Bihu in Assam with a traditional Assamese dhoti kurta, a cultural and charming choice for the festival. Complete the outfit with traditional jootis and a Gamusa, showcasing the essence of Assamese tradition and joyful Bihu celebrations."
"age-group:genz,gender:female,occasion:bihu,style:indian","outfit:Assamese Mekhela Sador,footwear:Traditional jootis,accessories:Assamese traditional jewelry,response:In Assam, embrace the grace of Bihu with an Assamese Mekhela Sador, a beautiful and traditional choice for young women during the festival. Complete the outfit with traditional jootis and Assamese traditional jewelry, exuding elegance and cultural pride."
"age-group:millennials,gender:male,occasion:bihu,style:indian","outfit:Naga tribal attire,footwear:Traditional Naga sandals,accessories:Traditional Naga headgear,response:In Nagaland, celebrate Bihu with traditional Naga tribal attire, reflecting the rich tribal culture of the region. Complete the outfit with traditional Naga sandals and a Naga headgear, showcasing the vibrant and diverse culture of Nagaland during the festival."
"age-group:genz,gender:female,occasion:bihu,style:indian","outfit:Traditional Manipuri Phanek,footwear:Traditional Manipuri Mojaris,accessories:Manipuri traditional jewelry,response:In Manipur, exude the cultural charm of Bihu with a traditional Manipuri Phanek, a unique and elegant choice for young women during the festival. Complete the outfit with traditional Manipuri Mojaris and Manipuri traditional jewelry, adding a touch of Manipuri grace and festive allure."
"age-group:millennials,gender:male,occasion:bihu,style:indian","outfit:Mizo traditional attire,footwear:Traditional Mizo sandals,accessories:Traditional Mizo headgear,response:In Mizoram, celebrate Bihu with Mizo traditional attire, reflecting the vibrant and colorful culture of the region. Complete the outfit with traditional Mizo sandals and a Mizo headgear, showcasing the cultural diversity and festive spirit of Mizoram during the festival."
"age-group:genz,gender:female,occasion:bihu,style:indian","outfit:Traditional Sikkimese Kho,footwear:Traditional Sikkimese boots,accessories:Sikkimese traditional jewelry,response:In Sikkim, embrace the beauty of Bihu with a traditional Sikkimese Kho, a graceful and elegant choice for young women during the festival. Complete the outfit with traditional Sikkimese boots and Sikkimese traditional jewelry, exuding the traditional charm and festive allure of Sikkim."
"age-group:millennials,gender:male,occasion:bihu,style:indian","outfit:Traditional Arunachali attire,footwear:Traditional Arunachali shoes,accessories:Arunachali traditional headgear,response:In Arunachal Pradesh, celebrate Bihu with traditional Arunachali attire, reflecting the diverse and tribal culture of the region. Complete the outfit with traditional Arunachali shoes and an Arunachali traditional headgear, showcasing the cultural richness and festive spirit of Arunachal Pradesh during the festival."
"age-group:genz,gender:female,occasion:bihu,style:indian","outfit:Traditional Meghalaya attire,footwear:Traditional Meghalaya sandals,accessories:Meghalaya traditional jewelry,response:In Meghalaya, dazzle in the traditional attire of the region for Bihu celebrations, reflecting the unique and vibrant culture of Meghalaya. Complete the outfit with traditional Meghalaya sandals and Meghalaya traditional jewelry, adding a touch of Meghalaya's cultural grace and festive allure."
"age-group:millennials,gender:male,occasion:bihu,style:indian","outfit:Mijikenda traditional attire,footwear:Traditional Mijikenda sandals,accessories:Traditional Mijikenda headgear,response:In Tripura, embrace the cultural richness of Bihu with Mijikenda traditional attire, reflecting the traditions and heritage of the region. Complete the outfit with traditional Mijikenda sandals and a Mijikenda headgear, showcasing the vibrant and diverse culture of Tripura during the festival."
"age-group:genz,gender:female,occasion:bihu,style:indian","outfit:Traditional Bhutanese attire,footwear:Traditional Bhutanese boots,accessories:Bhutanese traditional jewelry,response:In Bhutan, celebrate the grace of Bihu with traditional Bhutanese attire, reflecting the unique and elegant culture of the Himalayan nation. Complete the outfit with traditional Bhutanese boots and Bhutanese traditional jewelry, exuding the traditional charm and festive allure of Bhutan during the festival."
"age-group:millennials,gender:female,occasion:karwachauth,style:north-indian","outfit:Traditional red saree with gold border,footwear:Golden juttis,accessories:Traditional maang tikka,response:In North India, celebrate Karwa Chauth in the elegance of a traditional red saree with a golden border, a popular choice for married women during the festival. Complete the outfit with golden juttis and a traditional maang tikka, exuding the cultural charm and devotion of Karwa Chauth."
"age-group:genz,gender:female,occasion:karwachauth,style:north-indian","outfit:Graceful salwar kameez in vibrant hues,footwear:Colorful Punjabi juttis,accessories:Traditional chooda (bangles),response:In North India, embrace the grace of Karwa Chauth with a graceful salwar kameez adorned in vibrant hues, a beloved choice among young women during the festival. Complete the outfit with colorful Punjabi juttis and traditional chooda (bangles), adding a touch of regional allure and festive charm to your Karwa Chauth look."
"age-group:millennials,gender:female,occasion:karwachauth,style:west-indian","outfit:Traditional Rajasthani lehenga choli,footwear:Embroidered juttis,accessories:Colorful bangles,response:In West India, celebrate Karwa Chauth in the beauty of a traditional Rajasthani lehenga choli, a graceful choice for married women during the festival. Complete the outfit with embroidered juttis and colorful bangles, embracing the regional vibrancy and cultural richness of Karwa Chauth."
"age-group:genz,gender:female,occasion:karwachauth,style:west-indian","outfit:Stylish Ghaghra-choli with mirror work,footwear:Traditional mojari shoes,accessories:Traditional waistband,response:In West India, embrace the style of Karwa Chauth with a stylish Ghaghra-choli featuring mirror work, a fashionable and festive choice among young women during the festival. Complete the outfit with traditional mojari shoes and a traditional waistband, adding a touch of regional elegance and festive allure to your Karwa Chauth look."
"age-group:millennials,gender:female,occasion:karwachauth,style:south-indian","outfit:Traditional Kanjeevaram saree,footwear:Golden temple jewelry,accessories:Traditional hair accessories,response:In South India, celebrate Karwa Chauth in the timeless grace of a traditional Kanjeevaram saree, a cherished choice for married women during the festival. Complete the outfit with golden temple jewelry and traditional hair accessories, exuding the regional charm and devotion of Karwa Chauth."
"age-group:genz,gender:female,occasion:karwachauth,style:south-indian","outfit:Elegant Kerala Kasavu saree,footwear:Golden sandals,accessories:Traditional waistbelt,response:In South India, embrace the elegance of Karwa Chauth with an elegant Kerala Kasavu saree, a symbol of purity and grace for young women during the festival. Complete the outfit with golden sandals and a traditional waistbelt, adding a touch of regional allure and festive charm to your Karwa Chauth look."
"age-group:millennials,gender:female,occasion:karwachauth,style:east-indian","outfit:Bengali Tant saree with intricate patterns,footwear:Traditional Bengali juttis,accessories:Traditional red bindi,response:In East India, celebrate Karwa Chauth in the grace of a Bengali Tant saree adorned with intricate patterns, a beloved choice for married women during the festival. Complete the outfit with traditional Bengali juttis and a traditional red bindi, exuding the regional charm and devotion of Karwa Chauth."
"age-group:genz,gender:female,occasion:karwachauth,style:east-indian","outfit:Stylish Odia saree with traditional embroidery,footwear:Golden Odia juttis,accessories:Traditional filigree jewelry,response:In East India, embrace the style of Karwa Chauth with a stylish Odia saree featuring traditional embroidery, a fashionable and festive choice among young women during the festival. Complete the outfit with golden Odia juttis and traditional filigree jewelry, adding a touch of regional elegance and festive allure to your Karwa Chauth look."
"age-group:millennials,gender:male,occasion:casual,body-size:fit","outfit:Urban graphic tee, jogger pants,footwear:Stylish high-top sneakers,accessories:Baseball cap,response:Embrace urban fashion with an urban graphic tee and comfortable jogger pants. Complete the look with stylish high-top sneakers and a baseball cap."
"age-group:millennials,gender:male,occasion:casual,body-size:fit","outfit:Polo shirt, slim-fit chinos,footwear:White sneakers,accessories:Simple leather belt,response:Choose a classic casual look with a polo shirt and slim-fit chinos. Complete the outfit with white sneakers and a simple leather belt."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Retro-inspired printed dress,footwear:Vintage-style Mary Jane shoes,accessories:Retro round-frame sunglasses,response:Get a retro-inspired look with a printed dress and vintage-style Mary Jane shoes. Complete the look with retro round-frame sunglasses."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Denim jacket, graphic tee, leggings,footwear:Casual sneakers,accessories:Layered pendant necklace,response:Create a casual and stylish outfit with a denim jacket, graphic tee, and leggings. Complete the look with casual sneakers and a layered pendant necklace."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Modern ethnic fusion: Crop top, flared skirt,footwear:Boho-inspired sandals,accessories:Tassel earrings,response:Embrace a modern ethnic fusion look with a crop top and flared skirt. Complete the look with boho-inspired sandals and tassel earrings."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Casual denim jumpsuit,footwear:Slip-on sneakers,accessories:Canvas tote bag,response:Opt for a comfortable denim jumpsuit for a casual day. Complete the look with slip-on sneakers and a canvas tote bag."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Printed midi dress,footwear:Espadrille wedges,accessories:Statement bangle,response:Choose a printed midi dress for a feminine touch. Complete the look with espadrille wedges and a statement bangle."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Bohemian-inspired tunic top, distressed jeans,footwear:Boho sandals,accessories:Fringed crossbody bag,response:Embrace bohemian vibes with a bohemian-inspired tunic top and distressed jeans. Complete the look with boho sandals and a fringed crossbody bag."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Striped off-shoulder top, high-waisted shorts,footwear:Casual espadrilles,accessories:Wide-brimmed hat,response:Get a coastal-inspired look with a striped off-shoulder top and high-waisted shorts. Complete the look with casual espadrilles and a wide-brimmed hat."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Casual jumpsuit with tie waist,footwear:Slide sandals,accessories:Layered delicate necklace,response:Opt for a casual jumpsuit with a tie waist for an effortless look. Complete the look with slide sandals and a layered delicate necklace."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Printed kimono-style top, skinny jeans,footwear:Stylish ankle boots,accessories:Tassel earrings,response:Try a printed kimono-style top paired with skinny jeans for a trendy look. Complete the outfit with stylish ankle boots and tassel earrings."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Boho-inspired maxi skirt, plain tee,footwear:Flat strappy sandals,accessories:Layered boho necklaces,response:Embrace a boho-inspired look with a maxi skirt and a plain tee. Complete the look with flat strappy sandals and layered boho necklaces."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Casual kurti with jeans,footwear:Vibrant ethnic flats or juttis,accessories:Hoop earrings,response:For a casual day, go for a comfortable kurti paired with jeans. Complete the look with vibrant ethnic flats or juttis and hoop earrings."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Floral print blouse, skinny jeans,footwear:Classic ballet flats,accessories:Layered necklace,response:Embrace a floral and denim combination with a floral print blouse and skinny jeans. Complete the look with classic ballet flats and a layered necklace."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Bohemian maxi dress, denim jacket,footwear:Ankle boots,accessories:Oversized sunglasses,response:Try a chic boho look with a bohemian maxi dress and a denim jacket. Complete the look with ankle boots and oversized sunglasses."
"age-group:genz,gender:female,occasion:casual,body-size:fit","outfit:Basic tee, palazzo pants,footwear:Comfortable slip-on sandals,accessories:Woven tote bag,response:Opt for a comfortable fusion look with a basic tee and palazzo pants. Complete the look with comfortable slip-on sandals and a woven tote bag."
"age-group:millennials,gender:female,occasion:casual,body-size:fit","outfit:Cold-shoulder top, dhoti-style pants,footwear:Stylish sandals,accessories:Statement bangle,response:Choose a modern Indian casual look with a cold-shoulder top and dhoti-style pants. Complete the look with stylish sandals and a statement bangle."
"age-group:millennials,gender:male,occasion:formal,body-size:fit","outfit:Formal tailored shirt, classic trousers,footwear:Leather oxford shoes,accessories:Wristwatch, professional belt,response:For a professional office look, wear a formal tailored shirt with classic trousers. Complete the look with leather oxford shoes, a wristwatch, and a professional belt."
"age-group:millennials,gender:male,occasion:formal,body-size:fit","outfit:Traditional Indian Kurta Pajama,footwear:Classic mojaris,accessories:Simple metal cufflinks,response:Embrace a traditional touch with a comfortable Indian Kurta Pajama. Complete the look with classic mojaris and simple metal cufflinks, perfect for an formal setting."
"age-group:genz,gender:male,occasion:formal,body-size:fit","outfit:Business casual blazer, well-fitted chinos,footwear:Smart brogues,accessories:Professional tie, leather wallet,response:Opt for a business casual blazer paired with well-fitted chinos. Complete the look with smart brogues, a professional tie, and a leather wallet."
"age-group:genz,gender:male,occasion:formal,body-size:fit","outfit:Classic white shirt, modern slim-fit trousers,footwear:Minimalist derby shoes,accessories:Professional wristwatch,response:Choose a classic white shirt with modern slim-fit trousers for a timeless office look. Complete the outfit with minimalist derby shoes and a professional wristwatch."
"age-group:millennials,gender:male,occasion:formal,body-size:fit","outfit:Smart casual blazer, well-fitted jeans,footwear:Stylish loafers,accessories:Professional leather belt,response:Achieve a smart casual look with a blazer and well-fitted jeans. Complete the outfit with stylish loafers and a professional leather belt."
